Place,Delta_min,Lag_min,alpha_hat,alpha_theory,r,r_uc2,n,alpha_hat_highI,r_highI,r_uc2_highI,n_highI,I_delta_median,I_delta_q90,DeltaM_median,DeltaM_q90
CM,0.1666666666666666,0.0,0.005571564138107,0.005445421820795,0.4170246507002412,0.1739228177190838,27894,0.0044465186151011,0.4903215690484317,0.3069365529918911,5579,0.0794788714292348,3.3964968385118186,0.000166666666665,0.0751166666666664
JH,0.1666666666666666,0.0,0.0241425127755296,0.0318485122459795,0.3788569410789517,0.1435326451511961,26334,0.0168123925189314,0.3981199364084302,0.2558331154326652,5267,0.0556057090588501,0.6897426738397985,0.0,0.0458333333333333
CM,0.5,0.0,0.0062393783191831,0.005445421820795,0.470183491634417,0.2210876623904373,27900,0.0050529654639477,0.5398917705726037,0.3650686342801326,5580,0.3440792106779826,10.71079204893324,1.1877072569888014e-06,0.1978333333333318
JH,0.5,0.0,0.0262503015624209,0.0318485122459795,0.4223444929035435,0.1783749438029518,26339,0.018466290220756,0.4376673849688201,0.2962441790661518,5268,0.2237102803436403,2.009698407374436,0.0,0.1213666666666655
CM,1.0,0.0,0.0060826887604279,0.005445421820795,0.4672017606504283,0.2182977882106985,27909,0.0050311322005476,0.5198976267640023,0.3524886410043694,5582,0.9955328467334872,22.51157067233438,2.375414513977603e-06,0.3406666666666655
JH,1.0,0.0,0.025750207531614,0.0318485122459795,0.4318393830144226,0.1864853489214654,26345,0.0187221101973311,0.4497301301808862,0.309403088955875,5269,0.5750636865881888,3.928672572214009,-0.0001057015621608,0.211000000000002
CM,10.0,0.0,0.0010198688933312,0.005445421820795,0.1746605343001168,0.0310647718305353,28071,0.0008328301919061,0.1206184437875699,0.0386725940752183,5615,28.787007333191784,270.9285466728786,0.0090000000000003,0.9110000000000004
JH,10.0,0.0,0.0094231415313042,0.0318485122459795,0.2667503090246382,0.0711570567623314,26453,0.0079510955605777,0.247811493059416,0.1170615712399174,5291,11.534700846992472,32.41088759169644,-0.0005,0.5566333333333333
CM,30.0,0.0,0.000237513446843,0.005445421820795,0.0789629858734407,0.0092169317419044,28431,-0.0004109324637844,-0.1165132395827725,-0.0958836275806942,5687,106.65935655998308,744.6446786326046,0.0073333333333334,1.5148333333333337
JH,30.0,0.0,0.0046807834210425,0.0318485122459795,0.172976947524222,0.0299261327014234,26693,0.0016799654543019,0.0543451733964939,-0.0173126576115809,5339,41.67896906753262,85.04458008573975,-0.0023333333333361,0.9208999999999992
CM,60.0,0.0,0.0002850682712186,0.005445421820795,0.13274583490121,0.0241287485520479,28971,-0.0001852864557598,-0.0839490618994031,-0.1023612579338173,5797,229.69633533396853,1300.5721967505017,0.0333335933592584,2.285
JH,60.0,0.0,0.00193209128397,0.0318485122459795,0.0868652379397,0.0075562034627932,27053,-0.0061122621874549,-0.1734436942309863,-0.9264532158604936,5411,87.42015106168924,163.05051503367542,0.0009999999999998,1.221166666666665
