Place,CS_quantile,CS_value,epsilon,lambda_est,tau_C_s,kappa_loss,tau_SOA_s,delta_t_obs_s
CM,0.25,16.93583273837607,0.3,0.7400807980499999,0.1717967873243331,0.0001,10000.0,60.0
CM,0.5,20.77285490485798,0.3,0.7400807980499999,0.14343215685167168,0.0001,10000.0,60.0
CM,0.75,29.150369464122747,0.3,0.7400807980499999,0.10542749564162135,0.0001,10000.0,60.0
CM,0.25,16.93583273837607,0.5,1.23346799675,0.10307807239459985,0.0001,10000.0,60.0
CM,0.5,20.77285490485798,0.5,1.23346799675,0.08605929411100299,0.0001,10000.0,60.0
CM,0.75,29.150369464122747,0.5,1.23346799675,0.06325649738497281,0.0001,10000.0,60.0
CM,0.25,16.93583273837607,1.0,2.4669359935,0.05153903619729992,0.0001,10000.0,60.0
CM,0.5,20.77285490485798,1.0,2.4669359935,0.043029647055501496,0.0001,10000.0,60.0
CM,0.75,29.150369464122747,1.0,2.4669359935,0.031628248692486406,0.0001,10000.0,60.0
JH,0.25,22.138908403920432,0.3,1.8905031363,0.11720340041566915,0.0001,10000.0,60.0
JH,0.5,23.22293269273511,0.3,1.8905031363,0.11290016546747511,0.0001,10000.0,60.0
JH,0.75,24.96787070068278,0.3,1.8905031363,0.10659998514663359,0.0001,10000.0,60.0
JH,0.25,22.138908403920432,0.5,3.1508385605,0.07032204024940149,0.0001,10000.0,60.0
JH,0.5,23.22293269273511,0.5,3.1508385605,0.06774009928048506,0.0001,10000.0,60.0
JH,0.75,24.96787070068278,0.5,3.1508385605,0.06395999108798016,0.0001,10000.0,60.0
JH,0.25,22.138908403920432,1.0,6.301677121,0.035161020124700744,0.0001,10000.0,60.0
JH,0.5,23.22293269273511,1.0,6.301677121,0.03387004964024253,0.0001,10000.0,60.0
JH,0.75,24.96787070068278,1.0,6.301677121,0.03197999554399008,0.0001,10000.0,60.0
